condition,episodes,avg_return,avg_cost,avg_true_cost,avg_exposed_cost,violation_rate,delta_true_cost_vs_clean,delta_violation_vs_clean
safedreamer_action_delay_2,5,11.074599128347472,12.8,12.8,12.8,0.8,12.8,0.8
safedreamer_action_noise_0.1,5,15.823119010057416,10.6,10.6,10.6,0.4,10.6,0.4
safedreamer_clean,5,16.566327607011043,0.0,0.0,0.0,0.0,0.0,0.0
safedreamer_cost_under,5,16.566327607011043,0.0,0.0,0.0,0.0,0.0,0.0
safedreamer_hazard_blind,5,2.7940957301543667,42.8,42.8,42.8,1.0,42.8,1.0
safedreamer_lidar_blind,5,11.169719817239093,80.2,80.2,80.2,1.0,80.2,1.0
safedreamer_obs_delay_2,5,13.045100368463318,16.8,16.8,16.8,0.6,16.8,0.6
safedreamer_obs_noise_0.1,5,12.318412272218847,0.0,0.0,0.0,0.0,0.0,0.0
